Rank,ReleaseYear,year,Movie_first,Movie_second,DomesticGross,WorldwideGross,movieId
2930,2006-02-24,2006,Running Scared,NA,6855137,9729088,tt0404390
2931,2012-08-23,2012,The Apparition,NA,4936819,10637281,tt1433822
2932,2004-04-30,2004,Bobby Jones,Stroke of Genius,2694071,2694071,tt0375104
2933,1986-08-29,1986,Shanghai Surprise,NA,2315000,2315000,tt0091934
2934,2010-12-25,2010,L'illusionniste,NA,2231474,8609949,"NA"
2936,2003-10-17,2003,Veronica Guerin,NA,1569918,9438074,tt0312549
2937,2016-06-10,2016,Genius,NA,1361045,7265283,tt1703957
2938,2007-11-14,2007,Southland Tales,NA,275380,364607,"NA"
2939,2015-01-16,2015,Escobar,Paradise Lost,195792,3917679,tt4505682
2940,2015-02-06,2015,"Mune, le gardien de la lune",NA,0,14534046,"NA"
2941,2009-06-23,2009,Chasseurs de dragons,NA,0,13446115,"NA"
2942,1977-10-21,1977,Damnation Alley,NA,0,0,tt0075909
2943,2016-03-10,2016,The Young Messiah,NA,6469813,7313697,tt1002563
2944,2006-11-10,2006,FUR,An Imaginary Portrait of Diane Arbus,223202,2281089,tt0422295
2945,1991-11-27,1991,My Girl,NA,58011485,58011485,tt0102492
2946,1987-12-11,1987,Wall Street,NA,43848100,43848100,tt0094291
2947,1995-12-11,1995,Sense and Sensibility,NA,42993774,134993774,tt0114388
2948,2006-08-18,2006,The Illusionist,NA,39868642,83792062,tt0443543
2949,2007-08-03,2007,Becoming Jane,NA,18663911,39380876,tt0416508
2950,2003-12-19,2003,House of Sand and Fog,NA,13005485,16157923,tt0315983
2951,2007-09-21,2007,Sydney White,NA,11892415,13636339,tt0815244
2953,1989-06-02,1989,Dead Poets Society,NA,95860116,239500000,tt0097165
2955,1994-12-16,1994,Dumb & Dumber,NA,127175374,246400000,tt0109686
2956,1989-07-14,1989,When Harry Met Sally?€?,NA,92823546,92961960,tt0098635
2957,2000-05-19,2000,Road Trip,NA,68525609,119739110,tt0215129
2958,1982-12-08,1982,The Verdict,NA,53977250,53977250,tt0084855
2959,1999-01-15,1999,Varsity Blues,NA,52894169,54294169,tt0139699
2960,2012-05-16,2012,Moonrise Kingdom,NA,45512466,68848446,tt1748122
2961,2011-10-12,2011,The Artist,NA,44667095,128256712,tt1655442
2962,2009-01-09,2009,The Unborn,NA,42670410,78208812,tt1139668
2963,2002-08-02,2002,The Master of Disguise,NA,40363530,40363530,tt0295427
2964,2006-10-06,2006,The Texas Chainsaw Massacre,The Beginning,39517763,50517763,tt0420294
2965,2006-11-30,2006,El Laberinto del Fauno,NA,37634615,87041569,"NA"
2966,2011-02-04,2011,The Roommate,NA,37300107,52545707,tt1265990
2967,2007-02-02,2007,The Messengers,NA,35374833,53774833,tt0425430
2968,2001-03-02,2001,See Spot Run,NA,33357476,43057552,tt0250720
2969,1991-08-09,1991,Double Impact,NA,29090445,29090445,tt0101764
2970,2001-06-27,2001,Baby Boy,NA,28734552,28734552,tt0255819
2971,2001-04-11,2001,Joe Dirt,NA,27087695,30987695,tt0245686
2972,2008-09-12,2008,The Women,NA,26902075,50103808,tt0430770
2973,2007-04-20,2007,Hot Fuzz,NA,23618786,81742618,tt0425112
2974,2008-08-15,2008,Vicky Cristina Barcelona,NA,23216709,104504817,tt0497465
2975,2000-06-16,2000,Boys and Girls,NA,21799652,21799652,tt0204175
2976,2018-06-13,2018,Superfly,NA,20537137,20723581,tt7690670
2977,1994-11-18,1994,L??on,NA,19284974,45284974,"NA"
2978,2010-03-12,2010,Remember Me,NA,19068240,56506120,tt1403981
2979,2002-10-11,2002,White Oleander,NA,16357770,21657770,tt0283139
2980,2009-09-18,2009,Jennifer's Body,NA,16204793,31943401,tt1131734
2981,2000-03-03,2000,Drowning Mona,NA,15427192,15980376,tt0186045
2982,1987-01-30,1987,Radio Days,NA,14792779,14792779,tt0093818
2983,2003-07-18,2003,How to Deal,NA,14108518,14108518,tt0319524
2984,2014-10-03,2014,Left Behind,NA,14019924,20769209,tt2467046
2985,2004-05-28,2004,Soul Plane,NA,13922211,14553807,tt0367085
2986,1988-12-09,1988,My Stepmother Is an Alien,NA,13854000,13854000,tt0095687
2987,2012-06-29,2012,People Like Us,NA,12431792,12617472,tt1716777
2988,1999-05-28,1999,The Thirteenth Floor,NA,11810854,11810854,tt0139809
2989,2004-09-03,2004,The Cookout,NA,11540112,11540112,tt0380277
2990,1979-10-19,1979,Meteor,NA,8400000,8400000,tt0079550
2991,1986-03-07,1986,Highlander,NA,5900000,12900000,tt0091203
2992,2016-11-18,2016,Bleed for This,NA,5083906,6603926,tt1620935
2993,2002-05-03,2002,Hollywood Ending,NA,4839383,14839383,tt0278823
2994,2000-09-15,2000,Duets,NA,4734235,6615452,tt0134630
2995,1999-08-13,1999,Detroit Rock City,NA,4217115,5825314,tt0165710
2996,2007-10-19,2007,Things We Lost in the Fire,NA,3287315,8120148,tt0469623
2997,2014-06-04,2014,The Homesman,NA,2429989,8217571,tt2398231
2998,2013-03-27,2013,Trance,NA,2322593,22594052,tt1924429
2999,2014-05-16,2014,The Immigrant,NA,2013456,7585011,tt4380070
3000,1997-08-15,1997,Steel,NA,1686429,1686429,tt0120207
3001,2005-12-21,2005,The White Countess,NA,1669971,2814566,tt0384686
3002,2008-07-25,2008,Bienvenue chez les Ch'tis,NA,1477650,247474497,"NA"
3003,2014-10-01,2014,"Men, Women and Children",NA,705908,1685403,"NA"
3004,2010-09-24,2010,Enter the Void,NA,337997,1467278,"NA"
3005,2008-12-31,2008,Good,NA,31631,31631,tt0436364
3006,2012-11-02,2012,Vamps,NA,3361,94812,tt1545106
3007,2010-05-11,2010,Haeundae,NA,0,64733391,"NA"
3008,2010-03-09,2010,Hachiko,A Dog's Story,0,47707417,"NA"
3009,2013-12-04,2013,Zulu,NA,0,1844228,tt2249221
3010,2018-12-07,2018,Second Act,NA,39282227,63288854,tt2126357
3011,2002-06-21,2002,Juwanna Mann,NA,13571817,13771817,tt0247444
3012,2007-06-08,2007,La M??me,NA,10299782,88611837,"NA"
3013,2002-11-15,2002,Ararat,NA,1693000,1693000,tt0273435
3014,2007-04-13,2007,Slow Burn,NA,1237615,1237615,tt5449860
3015,2005-04-22,2005,Madison,NA,517262,517262,tt1442286
3016,2010-02-26,2010,The Yellow Handkerchief,NA,318623,318623,"NA"
3017,2002-09-27,2002,Wasabi,NA,81525,7000000,"NA"
3018,2006-03-31,2006,Slither,NA,7802450,12930343,tt0439815
3019,1990-11-16,1990,Home Alone,NA,285761243,476684675,tt0099785
3020,1984-12-05,1984,Beverly Hills Cop,NA,234760478,316300000,tt0086960
3021,1986-05-16,1986,Top Gun,NA,179800601,356799634,tt0092099
3022,1982-12-17,1982,Tootsie,NA,177200000,177200000,tt0084805
3023,1987-11-25,1987,3 Men and a Baby,NA,167780960,167780960,tt0094137
3024,2010-11-26,2010,The King?€?s Speech,NA,138797449,430821168,"NA"
3025,1999-09-15,1999,American Beauty,NA,130058047,356258047,tt0169547
3026,2000-12-08,2000,"Crouching Tiger, Hidden Dragon",NA,128067808,213514672,tt0190332
3027,1988-12-09,1988,Twins,NA,111936388,216600000,tt0096320
3028,1996-12-20,1996,Scream,NA,103046663,173046663,tt0117571
3029,2017-08-02,2017,Annabelle,Creation,102092201,305384865,tt5140878
3030,2013-10-23,2013,Jackass Presents,Bad Grandpa,102003019,160903019,"NA"
3031,1978-06-28,1978,Heaven Can Wait,NA,98800000,98800000,tt0077663
3032,1985-12-18,1985,The Color Purple,NA,93589701,93589701,tt0088939
3033,2014-11-14,2014,The Imitation Game,NA,91125143,227740463,tt2084970
3034,1988-03-30,1988,Beetlejuice,NA,73839613,73887546,tt0094721
3035,1959-11-18,1959,Ben-Hur,NA,73000000,73259017,tt0052618
3036,2013-01-17,2013,Mama,NA,71628180,148095566,tt2023587
3037,1980-10-10,1980,Private Benjamin,NA,69847348,69847348,tt0081375
3038,1980-03-07,1980,Coal Miner's Daughter,NA,67182787,67182787,tt0080549
3039,1987-03-06,1987,Lethal Weapon,NA,65192350,120192350,tt0093409
3040,2010-03-19,2010,Diary of a Wimpy Kid,NA,64003625,76954311,tt1196141
3041,1983-07-29,1983,National Lampoon?€?s Vacation,NA,61400000,61400000,"NA"
3042,2007-08-31,2007,Halloween,NA,58269151,77514401,tt0373883
